Station Name,Year,Month,Day,Avg Air Temp
Becker,2022,1,1,-9.814
Becker,2022,1,1,-11.794
Becker,2022,1,1,-13.864
Becker,2022,1,1,-15.232
Becker,2022,1,1,-15.952
Becker,2022,1,1,-16.762
Becker,2022,1,1,-17.68
Becker,2022,1,1,-18.364
Becker,2022,1,1,-18.598
Becker,2022,1,1,-18.022
Becker,2022,1,1,-16.636
Becker,2022,1,1,-15.124
Becker,2022,1,1,-13.972
Becker,2022,1,1,-12.226
Becker,2022,1,1,-10.75
Becker,2022,1,1,-10.516
Becker,2022,1,1,-10.462
Becker,2022,1,1,-11.74
Becker,2022,1,1,-13.054
Becker,2022,1,1,-12.532
Becker,2022,1,1,-13.396
Becker,2022,1,1,-13.648
Becker,2022,1,1,-13.918
Becker,2022,1,1,-14.872
Becker,2022,1,2,-15.664
Becker,2022,1,2,-15.898
Becker,2022,1,2,-15.844
Becker,2022,1,2,-16.69
Becker,2022,1,2,-17.248
Becker,2022,1,2,-17.626
Becker,2022,1,2,-18.382
Becker,2022,1,2,-19.12
Becker,2022,1,2,-18.58
Becker,2022,1,2,-14.854
Becker,2022,1,2,-12.928
Becker,2022,1,2,-6.07
Becker,2022,1,2,-3.064
Becker,2022,1,2,-1.498
Becker,2022,1,2,-0.22
Becker,2022,1,2,0.194
Becker,2022,1,2,-0.796
Becker,2022,1,2,-2.272
Becker,2022,1,2,-3.01
Becker,2022,1,2,-2.542
Becker,2022,1,2,-1.732
Becker,2022,1,2,-0.814
Becker,2022,1,2,0.284
Becker,2022,1,2,1.04
Becker,2022,1,3,4.1
Becker,2022,1,3,5.846
Becker,2022,1,3,6.152
Becker,2022,1,3,7.232
Becker,2022,1,3,7.052
Becker,2022,1,3,6.224
Becker,2022,1,3,5.99
Becker,2022,1,3,7.322
Becker,2022,1,3,9.122
Becker,2022,1,3,11.174
Becker,2022,1,3,14.234
Becker,2022,1,3,16.592
Becker,2022,1,3,19.054
Becker,2022,1,3,21.191
Becker,2022,1,3,20.437
Becker,2022,1,3,19.378
Becker,2022,1,3,16.16
Becker,2022,1,3,15.458
Becker,2022,1,3,11.444
Becker,2022,1,3,7.286
Becker,2022,1,3,11.624
Becker,2022,1,3,10.724
Becker,2022,1,3,10.112
Becker,2022,1,3,8.492
Becker,2022,1,4,6.692
Becker,2022,1,4,6.728
Becker,2022,1,4,5.63
Becker,2022,1,4,7.034
Becker,2022,1,4,9.032
Becker,2022,1,4,9.914
Becker,2022,1,4,10.976
Becker,2022,1,4,11.876
Becker,2022,1,4,12.398
Becker,2022,1,4,14.054
Becker,2022,1,4,16.502
Becker,2022,1,4,19.769
Becker,2022,1,4,22.579
Becker,2022,1,4,25.637
Becker,2022,1,4,26.112
Becker,2022,1,4,25.308
Becker,2022,1,4,23.776
Becker,2022,1,4,22.914
Becker,2022,1,4,22.017
Becker,2022,1,4,21.297
Becker,2022,1,4,20.786
Becker,2022,1,4,19.675
Becker,2022,1,4,19.348
Becker,2022,1,4,20.023
Becker,2022,1,5,17.384
Becker,2022,1,5,16.16
Becker,2022,1,5,15.584
Becker,2022,1,5,15.17
Becker,2022,1,5,14.882
Becker,2022,1,5,13.01
Becker,2022,1,5,11.138
Becker,2022,1,5,9.734
Becker,2022,1,5,8.852
Becker,2022,1,5,8.456
Becker,2022,1,5,7.61
Becker,2022,1,5,6.512
Becker,2022,1,5,5.864
Becker,2022,1,5,5.522
Becker,2022,1,5,5.324
Becker,2022,1,5,5.288
Becker,2022,1,5,5.144
Becker,2022,1,5,4.82
Becker,2022,1,5,3.74
Becker,2022,1,5,2.66
Becker,2022,1,5,1.85
Becker,2022,1,5,1.022
Becker,2022,1,5,-0.22
Becker,2022,1,5,-1.444
Becker,2022,1,6,-2.074
Becker,2022,1,6,-2.956
Becker,2022,1,6,-4.594
Becker,2022,1,6,-6.556
